project,neighborhood,status,sold_out,str_allowed,str_detail,price_from,bedrooms,commission,delivery,delivery_year,architect,lead_developer,url_slug,developer_page_slug
The Avenue Coral Gables,Coral Gables,New Construction,No,Yes,Yes,,1 to 2 Bedrooms,,2026,2026,Bermello Ajamil & Partners,Roger Development Group,preconstruction-coral-gables-the-avenue-coral-gables,developers-roger-development-group
The Cloud One Hotel & Residences Wynwood,Wynwood,In Contract,No,No,No,,Studio to Three Bedrooms,0.06,Q3 2028,2028,HWKN Architecture,Whale & Star Wynwood Owner LLC,preconstruction-wynwood-the-cloud-one-hotel-residences-wynwood,developers-whale-star-wynwood-owner-llc
The Cove Residences,Edgewater,Under Construction,No,No,No,,1 Bedroom + Den to 4 Bedrooms + Den,0.06,Q1 2028,2028,Kobi Karp Architecture & Interior Design,SB Development Group,preconstruction-edgewater-the-cove-residences,developers-sb-development-group
The Delmore,Surfside,Halted,No,No,No,,4 to 5 Bedrooms,0.05,Q3 2029,2029,Zaha Hadid Architects,DAMAC International,preconstruction-surfside-the-delmore,developers-damac-international
The George,Coral Gables,Topped Off,No,No,No,,3 to 4 Bedrooms,0.03,Q2 2027,2027,De La Guardia Victoria Architects & Urbanists,MG Developer,preconstruction-coral-gables-the-george,developers-mg-developer
The Lincoln,Coconut Grove,Under Construction,No,No,No,,1 to 4 Bedrooms,0.05,Q2 2028,2028,Paredes Architects,LORE Development Group,preconstruction-coconut-grove-the-lincoln,developers-lore-development-group
The Perigon Miami Beach,Miami Beach,Topped Off,No,Yes,Yes,,2 to 4 Bedrooms,,Q2 2027,2027,Office for Metropolitan Architecture,Starwood Capital Group,preconstruction-miami-beach-the-perigon-miami-beach,developers-starwood-capital-group
The Raleigh Rosewood Residences Miami Beach,South Beach,Planning,No,Unknown,,,,,,,,,preconstruction-south-beach-the-raleigh-rosewood-residences-miami-beach,developers
The Residences at 1428 Brickell,Brickell,Under Construction,No,No,No,,2 to 4 Bedrooms + Den (5BR Duplex PH Available),0.06,Q2 2028,2028,ACPV Architects,Ytech,preconstruction-brickell-the-residences-at-1428-brickell,developers-ytech
"The Residences at Mandarin Oriental, Miami North Tower",Brickell Key,In Contract,No,Varies,Varies,,2 to 4 Bedrooms (Private); 1 to 2 Bedrooms (Condo-Hotel),0.05,2030,2030,Kohn Pedersen Fox Associates,Swire Properties,preconstruction-brickell-key-the-residences-at-mandarin-oriental-miami-north-tower,developers-swire-properties
"The Residences at Mandarin Oriental, Miami South Tower",Brickell Key,In Contract,No,No,No,,2 to 5 Bedrooms,0.05,2030,2030,Kohn Pedersen Fox Associates,Swire Properties,preconstruction-brickell-key-the-residences-at-mandarin-oriental-miami-south-tower,developers-swire-properties
The Residences at Six Fisher Island,Fisher Island,Topped Off,No,No,No,,3 to 8 Bedrooms,0.04,Q4 2026,2026,Kobi Karp Architecture & Interior Design,Related Group,preconstruction-fisher-island-the-residences-at-six-fisher-island,developers-related-group
The Rider Residences,Wynwood,Under Construction,No,Yes,Yes/Airbnb & Building Prog.,572900,Studio to 3 Bedrooms,0.06,Q3 2027,2027,Deforma Studio,Cipres,preconstruction-wynwood-the-rider-residences,
The Ritz-Carlton Residences South Beach,South Beach,In Contract,No,Unknown,,,1 to 5 Bedrooms (6-7BR PH Available),0.05,Q1 2028,2028,Kobi Karp Architecture & Interior Design,Flag Luxury Group,preconstruction-south-beach-the-ritz-carlton-residences-south-beach,developers-flag-luxury-group
The Shore Club Auberge,South Beach,Planning,No,Unknown,,,,,2027,2027,Robert A.M. Stern Architects,Witkoff,preconstruction-south-beach-the-shore-club-auberge,developers-witkoff
The Standard Residences Brickell Miami,Brickell,Topped Off,No,No,No,,Studio to 3 Bedrooms,0.07,Q4 2027,2027,Arquitectonica,Newgard Development Group,preconstruction-brickell-the-standard-residences-brickell-miami,developers-newgard-development-group
The Standard Residences Midtown Miami,Midtown Miami,New Construction,No,No,No,,Studio to 2 Bedrooms,,,,Arquitectonica,Rosso Development,preconstruction-midtown-miami-the-standard-residences-midtown-miami,developers-rosso-development
The Village at Coral Gables,Coral Gables,Topped Off,No,No,No,,2 to 4 Bedrooms,0.05,2026,2026,De La Guardia Victoria Architects & Urbanists,MG Developer,preconstruction-coral-gables-the-village-at-coral-gables,developers-mg-developer
The Well Bay Harbor Islands,Bay Harbor Islands,New Construction,No,No,No,,1 to 4 Beds,0.07,,,Arquitectonica,Terra,preconstruction-bay-harbor-islands-the-well-bay-harbor-islands,developers-terra
The Well Coconut Grove,Coconut Grove,Under Construction,No,No,No,,"Lofts, Townhouses and 1 to 4 Bedrooms",0.06,Q1 2028,2028,Arquitectonica,Terra,preconstruction-coconut-grove-the-well-coconut-grove,developers-terra
The William,North Miami Beach,In Contract,No,No,No,,Studio to 3 Bedrooms,0.06,2029,2029,Carlos Ott Architects,Blue Road,preconstruction-north-miami-beach-the-william,developers-blue-road
