building,neighborhood,units,floors,year_built,str_allowed,str_detail,architect,lead_developer,url_slug,developer_page_slug
One Thousand Museum,Park West,84,61,2019,No,No,Zaha Hadid Architects,1000 Biscayne Tower LLC,condos-park-west-one-thousand-museum,developers-1000-biscayne-tower-llc
Onyx on the Bay,Edgewater,117,28,2007,No,No,Bermello Ajamil & Partners,BAP Development,condos-edgewater-onyx-on-the-bay,developers-bap-development
Opera Tower,Edgewater,635,56,2007,No,No,,,condos-edgewater-opera-tower,developers
Palau Sunset Harbour,South Beach,43,5,2016,No,No,Kobi Karp Architecture & Interior Design,SMG Management,condos-south-beach-palau-sunset-harbour,developers-smg-management
Palazzo Del Mare,Fisher Island,,,,No,No,,Fisher Island Holdings,condos-fisher-island-palazzo-del-mare,developers-fisher-island-holdings
Palazzo Del Sol,Fisher Island,,,,No,No,,Fisher Island Holdings,condos-fisher-island-palazzo-del-sol,developers-fisher-island-holdings
Palazzo Della Luna,Fisher Island,49,10,2019,No,No,,Fisher Island Holdings,condos-fisher-island-palazzo-della-luna,developers-fisher-island-holdings
Paraiso Bay,Edgewater,364,54,2018,No,No,Arquitectonica,Related Group,condos-edgewater-paraiso-bay,developers-related-group
Paraiso Bayviews,Edgewater,382,44,2018,No,No,Arquitectonica,Related Group,condos-edgewater-paraiso-bayviews,developers-related-group
Paramount Bay,Edgewater,344,47,2010,No,No,Arquitectonica,,condos-edgewater-paramount-bay,developers
Paramount Miami Worldcenter,Park West,567,58,2019,Varies,Varies,Elkus Manfredi Architects,Paramount Ventures,condos-park-west-paramount-miami-worldcenter,developers-paramount-ventures
Parc Lofts,A+E District,70,6,2005,Unknown,,Bermello Ajamil & Partners,The Intrepid Real Estate Company,condos-a-e-district-parc-lofts,developers-the-intrepid-real-estate-company
Park Grove Club Residences,Coconut Grove,132,23,2018,No,No,Office for Metropolitan Architecture,Related Group,condos-coconut-grove-park-grove-club-residences,developers-related-group
Park Villas East,South Beach,10,2,2013,Unknown,,,,condos-south-beach-park-villas-east,developers
Park Villas West,South Beach,8,2,2013,Unknown,,,,condos-south-beach-park-villas-west,developers
Parque Towers East,Sunny Isles Beach,159,27,2019,Unknown,,,,condos-sunny-isles-beach-parque-towers-east,developers
Parque Towers West,Sunny Isles Beach,161,30,2019,Unknown,,,,condos-sunny-isles-beach-parque-towers-west,developers
Peninsula I,Aventura,221,31,2003,Unknown,,,,condos-aventura-peninsula-i,developers
Peninsula II,Aventura,222,31,2007,Unknown,,,,condos-aventura-peninsula-ii,developers
Pinnacle,Sunny Isles Beach,242,42,1998,Unknown,,Sieger Suarez Architects,,condos-sunny-isles-beach-pinnacle,developers
Platinum Condominium,Edgewater,119,22,2006,Unknown,,Fullerton Diaz Architects,,condos-edgewater-platinum-condominium,developers
Porsche Design Tower,Sunny Isles Beach,132,58,2016,No,No,Sieger Suarez Architects,Dezer Development,condos-sunny-isles-beach-porsche-design-tower,developers-dezer-development
Porto Bellagio Building 1,Sunny Isles Beach,149,9,2003,Unknown,,,,condos-sunny-isles-beach-porto-bellagio-building-1,developers
Porto Bellagio Building 2,Sunny Isles Beach,195,9,2003,Unknown,,,,condos-sunny-isles-beach-porto-bellagio-building-2,developers
Porto Bellagio Building 3,Sunny Isles Beach,78,6,2003,Unknown,,,,condos-sunny-isles-beach-porto-bellagio-building-3,developers
Porto Bellagio Building 4,Sunny Isles Beach,78,6,2003,Unknown,,,,condos-sunny-isles-beach-porto-bellagio-building-4,developers
Porto Vita North,Aventura,122,31,2003,Unknown,,Revuelta Vega Leon,CMC Group,condos-aventura-porto-vita-north,developers-cmc-group
Porto Vita South,Aventura,150,32,2000,Unknown,,Revuelta Vega Leon,CMC Group,condos-aventura-porto-vita-south,developers-cmc-group
Porto Vita Townhomes,Aventura,26,,,Unknown,,Revuelta Vega Leon,CMC Group,condos-aventura-porto-vita-townhomes,developers-cmc-group
Portofino Tower,South of Fifth,216,46,1996,Unknown,,Sieger Suarez Architects,Portofino Group,condos-south-of-fifth-portofino-tower,developers-portofino-group
Prive North,Aventura,80,16,2017,Unknown,,Sieger Suarez Architects,Gary Cohen,condos-aventura-prive-north,developers-gary-cohen
Prive South,Aventura,80,16,2018,Unknown,,Sieger Suarez Architects,Gary Cohen,condos-aventura-prive-south,developers-gary-cohen
Quadro,Miami Design District,198,12,2019,Yes,Yes,,,condos-miami-design-district-quadro,developers
Quantum on the Bay,Edgewater,697,51,2007,No,No,Nichols Architects,Terra,condos-edgewater-quantum-on-the-bay,developers-terra
Reach,Brickell,390,43,2016,No,No,Arquitectonica,Swire Properties,condos-brickell-reach,developers-swire-properties
Regalia,Sunny Isles Beach,39,44,2014,Unknown,,Arquitectonica,,condos-sunny-isles-beach-regalia,developers
Residences at Vizcaya,Coconut Grove,18,7,2011,Unknown,,,,condos-coconut-grove-residences-at-vizcaya,developers
Residences by Armani/Casa,Sunny Isles Beach,308,56,2019,No,No,Pelli Clarke & Partners,Related Group,condos-sunny-isles-beach-residences-by-armani-casa,developers-related-group
Rise,Brickell,388,43,2016,No,No,Arquitectonica,Swire Properties,condos-brickell-rise,developers-swire-properties
Riva Bay Harbor,Bay Harbor Islands,25,7,2013,Unknown,,,,condos-bay-harbor-islands-riva-bay-harbor,developers
Roney Palace,South Beach,557,17,1926,Unknown,,,,condos-south-beach-roney-palace,developers
Santa Maria,Brickell,174,51,1997,Unknown,,Fullerton Diaz Revuelta,CMC Group,condos-brickell-santa-maria,developers-cmc-group
Sayan,Sunny Isles Beach,90,30,2007,Unknown,,,,condos-sunny-isles-beach-sayan,developers
Seaside Village,Fisher Island,,,,Unknown,,,Island Developers,condos-fisher-island-seaside-village,developers-island-developers
Seaside Villas,Fisher Island,,,,Unknown,,,Island Developers,condos-fisher-island-seaside-villas,developers-island-developers
Seaway at The Surf Club,Surfside,36,11,2024,Unknown,,,,condos-surfside-seaway-at-the-surf-club,developers
Sereno Residences,Bay Harbor Islands,38,7,2016,Unknown,,Corwil Architects,Integra Investments,condos-bay-harbor-islands-sereno-residences,developers-integra-investments
Skyline on Brickell,Brickell,360,35,2004,Unknown,,Bermello Ajamil & Partners,Skyline Equities Realty,condos-brickell-skyline-on-brickell,developers-skyline-equities-realty
SLS Lux,Brickell,521,58,2018,Varies,Varies,Arquitectonica,Related Group,condos-brickell-sls-lux,developers-related-group
Smart Brickell I,Brickell,50,23,2023,Yes,Yes/Airbnb & Building Prog.,HAC Architects,Habitat Group,condos-brickell-smart-brickell-i,developers-habitat-group
Solaris at Brickell,Brickell,138,23,2006,Unknown,,,H&H Development,condos-brickell-solaris-at-brickell,developers-h-h-development
Sole on the Ocean,Sunny Isles Beach,147,24,2007,Unknown,,,,condos-sunny-isles-beach-sole-on-the-ocean,developers
Solimar North,Surfside,108,12,2002,Unknown,,,,condos-surfside-solimar-north,developers
Solimar South,Surfside,106,12,2001,Unknown,,,,condos-surfside-solimar-south,developers
South Bay Club,South Beach,341,10,1966,Unknown,,,,condos-south-beach-south-bay-club,developers
South Pointe Towers,South of Fifth,202,25,1987,Unknown,,,,condos-south-of-fifth-south-pointe-towers,developers
Space 01,North Bay Village,53,16,2006,Unknown,,,,condos-north-bay-village-space-01,developers
Spiaggia,Surfside,104,12,1965,Unknown,,,,condos-surfside-spiaggia,developers
St Louis,Brickell Key,129,31,1995,Unknown,,,Swire Properties,condos-brickell-key-st-louis,developers-swire-properties
St Tropez on the Bay I,Sunny Isles Beach,93,21,2009,Unknown,,,,condos-sunny-isles-beach-st-tropez-on-the-bay-i,developers
St Tropez on the Bay II,Sunny Isles Beach,89,21,2009,Unknown,,,,condos-sunny-isles-beach-st-tropez-on-the-bay-ii,developers
St Tropez on the Bay III,Sunny Isles Beach,98,20,2010,Unknown,,,,condos-sunny-isles-beach-st-tropez-on-the-bay-iii,developers
St. Regis Bal Harbour Center,Bal Harbour,267,27,2011,Unknown,,Sieger Suarez Architects,Related Group,condos-bal-harbour-st-regis-bal-harbour-center,developers-related-group
St. Regis Bal Harbour North,Bal Harbour,107,27,2011,Unknown,,Sieger Suarez Architects,Related Group,condos-bal-harbour-st-regis-bal-harbour-north,developers-related-group
St. Regis Bal Harbour South,Bal Harbour,95,27,2011,Unknown,,Sieger Suarez Architects,Related Group,condos-bal-harbour-st-regis-bal-harbour-south,developers-related-group
Star Lofts,Edgewater,47,24,2007,Unknown,,,,condos-edgewater-star-lofts,developers
Sunset Harbour North,South Beach,219,26,1996,Unknown,,,,condos-south-beach-sunset-harbour-north,developers
Sunset Harbour South,South Beach,208,26,1998,Unknown,,,,condos-south-beach-sunset-harbour-south,developers
Ten Aragon Condo,Coral Gables,183,16,2004,Unknown,,,,condos-coral-gables-ten-aragon-condo,developers
Ten Museum Park,Park West,200,48,2007,No,No,Oppenheim Architecture & Design,Gregg Covin Real Estate Development,condos-park-west-ten-museum-park,developers-gregg-covin-real-estate-development
Ten Thousand Plaza North,Bay Harbor Islands,29,7,1977,Unknown,,,,condos-bay-harbor-islands-ten-thousand-plaza-north,developers
Ten Thousand Plaza South,Bay Harbor Islands,29,7,1977,Unknown,,,,condos-bay-harbor-islands-ten-thousand-plaza-south,developers
Ten30 South Beach,South Beach,32,3,2022,Unknown,,,,condos-south-beach-ten30-south-beach,developers
Terra Beachside Villas,Miami Beach,116,6,2010,Unknown,,Sieger Suarez Architects,BSG Development,condos-miami-beach-terra-beachside-villas,developers-bsg-development
The Altair,Bay Harbor Islands,96,6,2018,Unknown,,,PPG Development,condos-bay-harbor-islands-the-altair,developers-ppg-development
The Atrium at Aventura,Aventura,192,12,2007,Unknown,,,,condos-aventura-the-atrium-at-aventura,developers
The Bath Club,Miami Beach,113,20,2005,Unknown,,Revuelta Vega Leon,Peebles Atlantic Development,condos-miami-beach-the-bath-club,developers-peebles-atlantic-development
The Bond on Brickell,Brickell,328,44,2016,No,No,Nichols Architects,Rilea Group,condos-brickell-the-bond-on-brickell,developers-rilea-group
The Bridgewater,North Bay Village,118,21,2006,Unknown,,,,condos-north-bay-village-the-bridgewater,developers
The Caribbean North,Miami Beach,36,8,1941,Unknown,,,,condos-miami-beach-the-caribbean-north,developers
The Caribbean South,Miami Beach,68,19,2008,Unknown,,,,condos-miami-beach-the-caribbean-south,developers
The Carillon Center Tower,Miami Beach,229,16,2008,Unknown,,Arquitectonica,,condos-miami-beach-the-carillon-center-tower,developers
