company,type,developments,headquarters,url_slug
Art+Tec Development,Development Company,1,"1111 Kane Concourse, Suite 517, Bay Harbor Islands, FL 33154",developers-art-tec-development
Artefacto,Brand Partner,1,"Rua Haddock Lobo, 1405, São Paulo, SP 01414-003, Brazil",developers-artefacto
Ascendra Capital,Development Company,1,,developers-ascendra-capital
Asprea Studio,Interior Design Firm,1,"511 Canal St, Ste 500, New York, NY 10013",developers-asprea-studio
Aston Martin,Brand Partner,1,,developers-aston-martin
Aston Martin Design Studio,Interior Design Firm,1,,developers-aston-martin-design-studio
Azure Beach Development,Development Company,1,"290 Southeast 6th Avenue, Suite #5, Delray Beach, FL 33483",developers-azure-beach-development
B&B Italia,Brand Partner,1,"Strada Provinciale Novedratese 32/15, Novedrate, Como, 22060, Italy",developers-b-b-italia
Baccarat,Brand Partner,1,"545 Madison Avenue, New York, NY 10022",developers-baccarat
Baccarat Hotels & Resorts,Brand Partner,1,"28 West 53rd Street, New York, NY 10019",developers-baccarat-hotels-resorts
Baltus,Brand Partner,1,,developers-baltus
Baltus Interiors,Interior Design Firm,1,"C. Mar de Tasmania, S/N, P.I. Polaris World, 30591 Balsicas, Murcia, Spain",developers-baltus-interiors
BAM Property Development,Development Company,1,,developers-bam-property-development
BAMO,Interior Design Firm,1,"1000 Brannan Street, Suite 300, San Francisco, CA 94103",developers-bamo
Bayshore Grove Capital,Development Company,1,"2665 S Bayshore Dr, Ste M-102, Miami, FL 33133",developers-bayshore-grove-capital
BC Architects,Architecture Firm,1,"75 Valencia Avenue, Suite 1000, Coral Gables, FL 33134",developers-bc-architects
"BCOM, Inc.",Development Company,1,,developers-bcom-inc
Bellin Pratt & Fuentes Architects,Architecture Firm,1,"301 Almeria Ave, Suite 210, Coral Gables, FL 33134",developers-bellin-pratt-fuentes-architects
Bellon Architecture,Architecture Firm,1,"12930 SW 128th Street, Suite 203, Miami, FL 33186",developers-bellon-architecture
Ben-Josef Group,Development Company,1,,developers-ben-josef-group
Bentley Motors,Brand Partner,1,"Pyms Lane, Crewe, Cheshire, CW1 3PL, United Kingdom",developers-bentley-motors
BH Investment Group,Development Company,1,"150 SE 2nd Ave. Suite 1100, Miami, FL 33131",developers-bh-investment-group
BH3 Management,Development Company,1,"819 NE 2nd Avenue, Suite 500, Fort Lauderdale, FL 33304",developers-bh3-management
Bjarke Ingels Group,Interior Design Firm,1,"45 Main Street, 9th Floor, Brooklyn, NY 11201",developers-bjarke-ingels-group
Black Salmon,Development Company,1,"1200 Ponce de Leon Blvd. Suite #1403, Coral Gables, FL 33134",developers-black-salmon
BLDG Ventures LLC,Development Company,1,"1265 SW 22nd Street, Miami, FL 33145",developers-bldg-ventures-llc
Boris Pena Architects,Architecture Firm,1,"2900 SW 28th Lane, Suite 105, Miami, FL 33133",developers-boris-pena-architects
Brack Capital Real Estate,Development Company,1,"853 Broadway, Floor 2, New York, NY 10003",developers-brack-capital-real-estate
Brick O. Real Estate,Development Company,1,,developers-brick-o-real-estate
BSG Development,Development Company,1,,developers-bsg-development
C. Right Studios,Landscape Design Firm,1,,developers-c-right-studios
C.A.D. International,Interior Design Firm,1,"1040 Biscayne Blvd, 2504, Miami, Florida 33132",developers-c-a-d-international
Cain International,Development Company,1,,developers-cain-international
Carl Levin Architects + Design,Architecture Firm,1,"2980 McFarlane Rd, Second Floor, Miami, FL 33133",developers-carl-levin-architects-design
Carlos Guevara Architects,Interior Design Firm,1,"1300 Brickell Bay Dr Apt 602, Miami, Florida, 33131",developers-carlos-guevara-architects
Carlos Zapata Studio,Architecture Firm,1,"561 Broadway, Unit 4A, New York, NY 10012",developers-carlos-zapata-studio
Casa Tua,Brand Partner,1,"235 Lincoln Road, Miami Beach, FL-Florida 33139",developers-casa-tua
Caymares Martin Architecture and Engineering Design,Architecture Firm,1,"5001 SW 74th Ct, Ste 100, Miami, FL 33155",developers-caymares-martin-architecture-and-engineering-design
Charles & Co,Interior Design Firm,1,"152 Madison Ave, 21st Floor, New York, NY 10016",developers-charles-co
Christopher Cawley Landscape Architecture,Landscape Design Firm,1,"7245 NE 4th Ave, Suite 104, Miami, FL 33138",developers-christopher-cawley-landscape-architecture
Ciprés,Development Company,1,"1200 Brickell Avenue, Suite 1200, Miami, FL 33131",developers-cipr-s
Clausen-Collaborative Interior Design (CCID),Interior Design Firm,1,,developers-clausen-collaborative-interior-design-ccid
Cobalt Development Group,Development Company,1,,developers-cobalt-development-group
Cola Blanca Studio,Interior Design Firm,1,"50 mts Norte de la plaza del Invu, diagonal a Montesol, Santa Ana, San José, 10901, Costa Rica",developers-cola-blanca-studio
Collarte Interiors,Interior Design Firm,1,"3444 Main Highway, Unit #6, Miami, FL 33133",developers-collarte-interiors
Concepto Taller de Arquitectura | Interior Design,Interior Design Firm,1,"Ave. Lomas de Sotelo #855, 11200 Mexico City, Mexico",developers-concepto-taller-de-arquitectura-interior-design
Constellation Hotels Holding,Development Company,1,,developers-constellation-hotels-holding
Corwil Architects,Architecture Firm,1,"4210 Laguna Street, Coral Gables, FL 33146",developers-corwil-architects
Crescent Heights,Development Company,1,"2200 Biscayne Boulevard, Miami, FL 33137",developers-crescent-heights
DaGrosa Capital Partners,Development Company,1,"3011 Ponce de Leon Blvd, Suite 1420, Coral Gables, FL 33134",developers-dagrosa-capital-partners
DAMAC International,Development Company,1,"Executive Heights, 20th Floor, Barsha Heights, P.O. Box 2195, Dubai, United Arab Emirates",developers-damac-international
David Chipperfield Architects,Architecture Firm,1,"22 Little Portland Street, London W1W 8BU, United Kingdom",developers-david-chipperfield-architects
Deforma Studio,Architecture Firm,1,"5555 Biscayne Blvd 2SW, Miami, FL 33137",developers-deforma-studio
Delano Hotels,Brand Partner,1,"1685 Collins Ave, Miami Beach, FL 33139",developers-delano-hotels
Design Architecture Consultants,Interior Design Firm,1,"2350 Coral Way, Miami, FL 33145",developers-design-architecture-consultants
Design Philosophy,Interior Design Firm,1,,developers-design-philosophy
Design Studio Boca,Landscape Design Firm,1,"2300 Corporate Blvd NW, Ste 214, Boca Raton, FL 33431",developers-design-studio-boca
Dieguez Fridman Design,Interior Design Firm,1,,developers-dieguez-fridman-design
Dolce&Gabbana,Brand Partner,1,"Via C. Goldoni 10, 20129 Milano, Italia",developers-dolce-gabbana
DTI Architects,Architecture Firm,1,"14125 NW 80th Avenue, Suite 303, Miami Lakes, Florida 33016",developers-dti-architects
Eastview Development,Development Company,1,,developers-eastview-development
EB Developers,Development Company,1,,developers-eb-developers
Eden Residential,Development Company,1,"2801 SW 31st Ave., Ste. 2B, Coconut Grove, FL 33133",developers-eden-residential
EDITION,Brand Partner,1,"820 Greenwich St, New York, New York 10014",developers-edition
Element Development,Development Company,1,"3006 Aviation Ave, Ste 2-A. Miami, FL. 33133",developers-element-development
Elkus Manfredi Architects,Architecture Firm,1,"25 Drydock Avenue, Boston, Massachusetts 02210",developers-elkus-manfredi-architects
ELLE,Brand Partner,1,"Hearst Tower, 300 W 57th St, New York, NY 10019",developers-elle
Elliott Management Corporation,Development Company,1,"360 S. Rosemary Ave, 18th Floor, West Palm Beach, FL 33401",developers-elliott-management-corporation
"Estoril, Inc.",Development Company,1,,developers-estoril-inc
Euro Design Group,Interior Design Firm,1,,developers-euro-design-group
Extell Development,Development Company,1,"805 Third Avenue, 7th Floor, New York, NY 10022",developers-extell-development
FAB 314 Architecture Workshop,Interior Design Firm,1,"HaYesod Street 2, #121, Tel Aviv, 6816324, Israel",developers-fab-314-architecture-workshop
Fasciano Investments,Development Partner,1,,developers-fasciano-investments
Fendi,Brand Partner,1,"Palazzo della Civiltà, Quadrato della Concordia 3, 00144, Rome, Italy",developers-fendi
FENDI Casa,Brand Partner,1,"Piazza della Scala, 20121 Milan, Italy",developers-fendi-casa
Fernando Wong Outdoor Living Design,Landscape Design Firm,1,"1504 Bay Road - Suite 2705, Miami Beach, FL 33139",developers-fernando-wong-outdoor-living-design
Field Operations,Landscape Design Firm,1,"4 Bryant Park, Floor 11, New York, NY 10018",developers-field-operations
Flag Luxury Group,Development Company,1,"70 East 55th Street, 23rd Floor, New York, NY 10022",developers-flag-luxury-group
Florida Development Associates,Development Company,1,,developers-florida-development-associates
Florida Value Partners,Development Company,1,"15500 New Barn Road # 104, Miami Lakes, FL 33014",developers-florida-value-partners
Flow,Development Company,1,"1170 Kane Concourse, Suite 300, Bay Harbor Islands, FL 33154",developers-flow
FormGroup Architects,Architecture Firm,1,"6161 Waterford District Dr Ste 290, Miami, FL 33126",developers-formgroup-architects
Foster + Partners,Architecture Firm,1,"Riverside, 22 Hester Road, London, SW11 4AN, United Kingdom",developers-foster-partners
Fouquet's,Brand Partner,1,"456 Greenwich St, New York, NY 10013, US",developers-fouquet-s
Frida Kahlo,Brand Partner,1,"1111 Kane Concourse, Suite 410, Bay Harbor Islands, FL 33154",developers-frida-kahlo
FuseProject,Interior Design Firm,1,"1401 16th Street, San Francisco, CA 94103",developers-fuseproject
G&G Business Developments,Development Company,1,"1200 Brickell Avenue, Suite 1660 Miami, FL 33131",developers-g-g-business-developments
G&L Real Estate Development,Development Company,1,"Marchant Pereira 201, Floor 3, 7500531 Providencia, Santiago, Región Metropolitana, CHILE",developers-g-l-real-estate-development
Gabellini Sheppard Associates,Interior Design Firm,1,"665 Broadway, Suite 706, New York, NY 10012",developers-gabellini-sheppard-associates
Gamla Cedron Group,Development Company,1,"1110 NW 1st St, Miami, FL 33130",developers-gamla-cedron-group
Gary Cohen,Development Company,1,,developers-gary-cohen
